timestamp,Actual Load,RF_prediction,XGB_prediction
2021-01-04 07:00:00+00:00,9138.0,9179.251969470326,9137.774
2021-01-04 08:00:00+00:00,9357.0,9387.472376750302,9357.034
2021-01-04 09:00:00+00:00,9489.0,9510.869847302109,9489.1455
2021-01-04 10:00:00+00:00,9177.0,9325.89783202621,9177.08
2021-01-04 11:00:00+00:00,9660.0,9625.698431359595,9658.903
2021-01-04 12:00:00+00:00,9662.0,9682.614892512696,9662.008
2021-01-04 13:00:00+00:00,9359.0,9388.787244092577,9359.169
2021-01-04 14:00:00+00:00,9416.0,9435.240737225226,9416.156
2021-01-04 15:00:00+00:00,9420.0,9421.217640124265,9419.899
2021-01-04 16:00:00+00:00,9283.0,9333.724031867087,9283.039
2021-01-04 17:00:00+00:00,9026.0,9083.667362315628,9026.101
2021-01-04 18:00:00+00:00,8988.0,9020.842221520837,8987.061
2021-01-04 19:00:00+00:00,8623.0,8716.219894627595,8623.03
2021-01-04 20:00:00+00:00,8207.0,8365.105416184528,8207.197
2021-01-04 21:00:00+00:00,7845.0,7959.951336804044,7844.82
2021-01-04 22:00:00+00:00,7373.0,7416.759160701486,7373.414
2021-01-04 23:00:00+00:00,7038.0,7128.699201587301,7037.6094
2021-01-05 00:00:00+00:00,7076.0,7140.164828752954,7076.43
2021-01-05 01:00:00+00:00,7025.0,7080.351057919621,7025.0854
2021-01-05 02:00:00+00:00,6955.0,6989.385003267974,6954.8813
2021-01-05 03:00:00+00:00,7080.0,7149.945925396825,7079.9727
2021-01-05 04:00:00+00:00,7552.0,7617.448760076036,7552.307
2021-01-05 05:00:00+00:00,8572.0,8624.876419913418,8571.938
2021-01-05 06:00:00+00:00,9145.0,9229.038748463594,9145.698
2021-01-05 07:00:00+00:00,9366.0,9426.328401335806,9366.089
2021-01-05 08:00:00+00:00,9619.0,9648.717131165891,9618.977
2021-01-05 09:00:00+00:00,9703.0,9739.289272201277,9702.339
2021-01-05 10:00:00+00:00,9721.0,9754.886168253372,9721.312
2021-01-05 11:00:00+00:00,9814.0,9830.786379039806,9814.1
2021-01-05 12:00:00+00:00,9862.0,9859.458420309647,9861.935
2021-01-05 13:00:00+00:00,9579.0,9592.7386190424,9579.201
2021-01-05 14:00:00+00:00,9641.0,9641.833482663173,9640.702
2021-01-05 15:00:00+00:00,9590.0,9606.477480059259,9590.009
2021-01-05 16:00:00+00:00,9496.0,9521.877296944815,9495.8
2021-01-05 17:00:00+00:00,9308.0,9285.895490052946,9307.8
2021-01-05 18:00:00+00:00,9223.0,9251.169103037328,9223.198
2021-01-05 19:00:00+00:00,8814.0,8860.154626277053,8813.63
2021-01-05 20:00:00+00:00,8408.0,8475.47761202889,8408.098
2021-01-05 21:00:00+00:00,8010.0,8056.718373835646,8010.443
2021-01-05 22:00:00+00:00,7545.0,7602.449276000291,7545.494
2021-01-05 23:00:00+00:00,7242.0,7244.057739429906,7240.6587
2021-01-06 00:00:00+00:00,7281.0,7291.153750762872,7281.118
2021-01-06 01:00:00+00:00,7207.0,7234.490862044794,7207.157
2021-01-06 02:00:00+00:00,7109.0,7142.589217856163,7108.843
2021-01-06 03:00:00+00:00,7248.0,7268.969259874151,7248.023
2021-01-06 04:00:00+00:00,7732.0,7793.937584030719,7731.9414
2021-01-06 05:00:00+00:00,8771.0,8755.750833333334,8771.489
2021-01-06 06:00:00+00:00,9365.0,9419.88350883554,9365.036
2021-01-06 07:00:00+00:00,9589.0,9641.433488107567,9589.479
2021-01-06 08:00:00+00:00,9826.0,9835.106496157949,9826.032
2021-01-06 09:00:00+00:00,9941.0,9936.290863203461,9940.62
2021-01-06 10:00:00+00:00,9965.0,9951.38393111904,9964.175
2021-01-06 11:00:00+00:00,10015.0,9992.88665784154,10015.343
2021-01-06 12:00:00+00:00,10009.0,9983.48111022249,10008.248
2021-01-06 13:00:00+00:00,9697.0,9669.490010889649,9696.697
2021-01-06 14:00:00+00:00,9744.0,9730.037791589319,9744.523
2021-01-06 15:00:00+00:00,9712.0,9705.987938167353,9711.893
2021-01-06 16:00:00+00:00,9623.0,9670.185951267373,9623.0205
2021-01-06 17:00:00+00:00,9391.0,9422.17863061853,9391.396
2021-01-06 18:00:00+00:00,9332.0,9369.80463694524,9332.175
2021-01-06 19:00:00+00:00,8948.0,9031.29639736153,8948.202
2021-01-06 20:00:00+00:00,8517.0,8599.368292834502,8517.184
2021-01-06 21:00:00+00:00,8162.0,8194.733401911883,8160.953
2021-01-06 22:00:00+00:00,7730.0,7787.896732071235,7730.538
2021-01-06 23:00:00+00:00,7353.0,7408.6971629857,7353.103
2021-01-07 00:00:00+00:00,7410.0,7464.405257921409,7410.152
2021-01-07 01:00:00+00:00,7351.0,7402.838643279811,7351.042
2021-01-07 02:00:00+00:00,7261.0,7364.346998736326,7260.8765
2021-01-07 03:00:00+00:00,7412.0,7465.590465355179,7412.34
2021-01-07 04:00:00+00:00,7834.0,7958.992066666667,7834.291
2021-01-07 05:00:00+00:00,8884.0,8925.110083333331,8884.211
2021-01-07 06:00:00+00:00,9457.0,9556.1678114314,9457.718
2021-01-07 07:00:00+00:00,9704.0,9751.780278693734,9704.255
2021-01-07 08:00:00+00:00,9856.0,9871.164596856652,9856.404
2021-01-07 09:00:00+00:00,9893.0,9917.194633598683,9892.825
2021-01-07 10:00:00+00:00,9890.0,9917.473060827011,9890.419
2021-01-07 11:00:00+00:00,9967.0,9938.019911203048,9964.654
2021-01-07 12:00:00+00:00,9950.0,9873.902311083788,9949.601
2021-01-07 13:00:00+00:00,9645.0,9698.617387984485,9647.273
2021-01-07 14:00:00+00:00,9716.0,9708.368982738551,9716.012
2021-01-07 15:00:00+00:00,9703.0,9700.896304123267,9703.095
2021-01-07 16:00:00+00:00,9702.0,9699.889467194136,9702.114
2021-01-07 17:00:00+00:00,9449.0,9426.823876979202,9448.975
2021-01-07 18:00:00+00:00,9440.0,9425.44806609477,9439.457
2021-01-07 19:00:00+00:00,9062.0,9065.821284325697,9062.128
2021-01-07 20:00:00+00:00,8651.0,8680.239196275521,8651.267
2021-01-07 21:00:00+00:00,8256.0,8240.23185203252,8256.2705
2021-01-07 22:00:00+00:00,7805.0,7774.554230313397,7804.97
2021-01-07 23:00:00+00:00,7452.0,7440.932562024988,7450.092
2021-01-08 00:00:00+00:00,7546.0,7558.980099631694,7545.7017
